,incident_id,date,state,city_or_county,address,latitude,longitude,zip,congressional_district,n_killed,n_injured,killed_and_injured,n_guns_involved,handgun,shotgun,assault_rifle,stolen,not_stolen,male,female,participant_count,participant_avg_age,Gun Freedom Score,Mean income (dollars),democrat,PVI #,extreme_left,extreme_right
0,461105,1/1/2013,Pennsylvania,Mckeesport,1506 Versailles Avenue and Coursin Street,40.3467,-79.8559,15072,14.0,0,4,4,,0,0,0,0,0,1,1,1,20.0,7.4,191955,1,17,0,0
1,460726,1/1/2013,California,Hawthorne,13500 block of Cerise Avenue,33.909,-118.333,90303,43.0,1,3,4,,0,0,0,0,0,1,0,1,20.0,3.85,55861,1,29,0,0
2,478855,1/1/2013,Ohio,Lorain,1776 East 28th Street,41.4455,-82.1377,44035,9.0,1,3,4,2.0,0,0,0,0,0,1,0,5,31.2,7.4,52548,1,14,0,0
3,478925,1/5/2013,Colorado,Aurora,16000 block of East Ithaca Place,39.6518,-104.802,80621,6.0,4,0,4,,0,0,0,0,0,1,1,4,37.8,7.65,74887,0,2,0,0
4,478959,1/7/2013,North Carolina,Greensboro,307 Mourning Dove Terrace,36.114000000000004,-79.9569,24927,6.0,2,2,4,2.0,1,0,0,0,0,1,1,4,31.3,6.9,24170,0,9,0,0
5,478948,1/7/2013,Oklahoma,Tulsa,6000 block of South Owasso,36.2405,-95.9768,77423,1.0,4,0,4,,0,0,0,0,0,1,1,4,33.5,6.2,67519,0,17,0,0
6,479363,1/19/2013,New Mexico,Albuquerque,2806 Long Lane,34.9791,-106.71600000000001,88047,1.0,5,0,5,2.0,0,0,1,0,0,1,1,6,20.3,7.4,68101,1,7,0,0
7,479374,1/21/2013,Louisiana,New Orleans,LaSalle Street and Martin Luther King Jr. Boulevard,29.9435,-90.0836,70113,2.0,0,5,5,,0,0,0,0,0,1,0,1,0.0,6.9,46380,1,25,0,0
8,479389,1/21/2013,California,Brentwood,1100 block of Breton Drive,37.9656,-121.71799999999999,95138,9.0,0,4,4,,0,0,0,0,0,1,0,1,0.0,3.85,193734,1,8,0,0
9,492151,1/23/2013,Maryland,Baltimore,1500 block of W. Fayette St.,39.2899,-76.6412,21093,7.0,1,6,7,,0,0,0,0,0,1,0,1,15.0,5.1,119625,1,26,0,0
10,491674,1/23/2013,Tennessee,Chattanooga,1501 Dodds Ave,35.0221,-85.2697,36376,3.0,1,3,4,1.0,0,0,0,0,0,1,0,1,19.0,8.13,51584,0,18,0,0
11,479413,1/25/2013,Missouri,Saint Louis,W Florissant Ave and Riverview Blvd,38.7067,-90.2494,52701,1.0,1,3,4,1.0,0,0,0,0,0,1,0,1,28.0,7.4,51636,1,29,0,0
12,479561,1/26/2013,Louisiana,Charenton,1000 block of Flat Town Road,29.8816,-91.5251,54625,3.0,2,3,5,1.0,0,1,0,0,0,1,0,2,63.0,6.9,47171,0,20,0,1
13,479554,1/26/2013,District of Columbia,Washington,2403 Benning Road Northeast,38.8978,-76.9717,20695,1.0,0,5,5,1.0,1,0,0,0,0,1,1,1,0.0,2.0,108424,1,43,1,0
14,479460,1/26/2013,Ohio,Springfield,601 West Main Street,39.9252,-83.8218,48728,8.0,1,3,4,,0,0,0,0,0,1,0,5,28.6,7.4,37576,0,17,0,0
15,479573,2/2/2013,Tennessee,Memphis,2514 Mount Moriah,35.0803,-89.8871,49968,9.0,0,5,5,1.0,1,0,0,0,0,0,1,1,24.0,8.13,50923,1,28,0,0
16,479580,2/3/2013,California,Yuba (county),5800 block of Poplar Avenue,39.1236,-121.583,98651,3.0,1,3,4,1.0,1,0,0,0,0,1,1,4,20.5,3.85,88522,1,5,0,0
17,479592,2/7/2013,Illinois,Chicago,2500 block of East 75th Street,41.7592,-87.5628,35661,2.0,0,4,4,,0,0,0,0,0,1,0,4,28.8,4.2,66386,1,29,0,0
18,479603,2/9/2013,Louisiana,New Orleans,400 block of Bourbon Street,29.9563,-90.0676,62095,2.0,0,4,4,1.0,1,0,0,0,0,1,1,7,22.0,6.9,56372,1,25,0,0
19,480311,2/11/2013,California,Vallejo,800 block of Humboldt Street,38.1072,-122.228,98390,5.0,1,4,5,,0,0,0,0,0,1,1,1,22.0,3.85,81794,1,21,0,0
