zip,Mean income (dollars)
00601,28658
00602,25887
00603,33415
00606,15727
00610,26716
00612,31881
00616,32634
00617,28817
00622,50467
00623,34268
00624,24124
00627,30785
00631,21131
00637,30817
00638,28402
00641,23963
00646,51136
00647,19211
00650,24579
00652,34534
00653,25995
00656,25212
00659,30625
00660,27906
00662,30133
00664,25518
00667,26424
00669,28526
00670,23843
00674,32587
00676,25818
00677,23020
00678,25490
00680,28964
00682,34957
00683,29601
00685,26399
00687,29400
00688,29049
00690,39172
00692,40997
00693,38592
00694,-
00698,29051
00703,34569
00704,27518
00705,32472
00707,28579
00714,27665
00715,20355
00716,43440
00717,29955
00718,33238
00719,31195
00720,25865
00723,27202
00725,36091
00727,48231
00728,28414
00729,35675
00730,34365
00731,26696
00735,33904
00736,35339
00738,29942
00739,36267
00740,22087
00741,28971
00745,33568
00751,25325
00754,35697
00757,29612
00765,26008
00766,25545
00767,26632
00769,29806
00771,34797
00772,25611
00773,32323
00775,27811
00777,31006
00778,53814
00780,46472
00782,22621
00783,31201
00784,31233
00786,N
00791,35266
00794,28817
00795,32623
00901,71262
00906,85888
00907,69797
00909,30117
00911,53405
00912,38906
00913,30646
00915,24692
00917,32763
00918,49128
00920,33895
00921,32510
00923,29443
00924,32759
00925,29824
00926,62073
00927,60909
00934,68100
00936,-
00949,37113
00950,-
00951,N
00952,28899
00953,49701
00956,32910
00957,36545
00959,41954
00960,-
00961,46600
00962,32043
00965,27520
00966,87459
00968,92082
00969,78927
00971,40463
00976,47977
00979,54256
00982,34375
00983,34206
00985,33420
00987,43568
01001,77743
01002,73620
01003,N
01005,91733
01007,97530
01008,72290
01009,47842
01010,85682
01011,79318
01012,70209
01013,54991
01020,77678
01022,57904
01026,56497
01027,77749
01028,107768
01029,79962
01030,84746
01031,61838
01032,78838
01033,94756
01034,88103
01035,92808
01036,108135
01037,86038
01038,77409
01039,85980
01040,63178
01050,75823
01053,84023
01054,94404
01056,87598
01057,81174
01060,84151
01062,104447
01063,-
01066,-
01068,87403
01069,82231
01070,64894
01071,85884
01072,81448
01073,107560
01074,N
01075,79945
01077,104393
01079,62236
01080,66069
01081,66949
01082,71241
01083,68962
01084,68358
01085,79020
01086,-
01088,71220
01089,68662
01092,109108
01093,93237
01094,102415
01095,120755
01096,83026
01097,N
01098,84898
01103,49320
01104,53308
01105,42144
01106,143890
01107,45980
01108,55122
01109,46484
01118,71315
01119,60905
01128,84319
01129,67158
01151,48473
01199,-
01201,65818
01220,59261
01222,84162
01223,77708
01224,29247
01225,69919
01226,76924
01229,40300
01230,80606
01235,71014
01236,78151
01237,90036
01238,79434
01240,105003
01242,57545
01243,85382
01244,74081
01245,85914
01247,57100
01253,77575
01254,123332
01255,80741
01256,66954
01257,58600
01258,51495
01259,75170
01260,94852
01262,65392
01264,87349
01266,90268
01267,92346
01270,85696
01301,62289
01330,88345
01331,68729
01337,73698
01338,60147
01339,59307
01340,66074
01341,100980
01342,133726
01343,88163
01344,62280
01346,76405
01347,39093
01349,64301
01350,61163
01351,92206
01354,74483
01355,77434
01360,75753
01364,60300
01366,83830
01367,58237
01368,70255
01370,67108
01373,77814
01375,68291
01376,58472
01378,65863
01379,57868
01420,66860
01430,103289
01431,96726
01432,100347
01434,73717
01436,86267
01438,82390
01440,60186
01450,136815
01451,168389
01452,98282
01453,77191
01460,137626
01462,114233
01463,111353
01464,89333
01467,177579
01468,85559
01469,98801
01473,103552
01474,129331
01475,75900
01501,96216
01503,128002
01504,86219
01505,120885
01506,87498
01507,103566
01510,77013
01515,95031
01516,96254
01518,110984
01519,133972
01520,121364
01521,86473
01522,115630
01523,112345
01524,79359
01525,86970
01527,93294
01529,104667
01531,89657
01532,135361
01534,132198
01535,77217
01536,122098
01537,87006
01540,77406
01541,148306
01542,85202
01543,108673
01545,126588
01550,62052
01560,115647
01561,58192
01562,80588
01564,138183
01566,119398
01568,129721
01569,97259
01570,67536
01571,90033
01581,131297
01583,99185
01585,75904
01588,85238
01590,114358
01602,85234
01603,67824
01604,71491
01605,61008
01606,87735
01607,62716
01608,33303
01609,80654
01610,50441
01611,88020
01612,118228
01701,118565
01702,72148
01718,150019
01719,136821
01720,158633
01721,131458
01730,147464
01731,88212
01740,159396
01741,225615
01742,193958
01745,108665
01746,138315
01747,120365
01748,171351
01749,101204
01752,95720
01754,118087
01756,146016
01757,90095
01760,131993
01770,218846
01772,194117
01773,236919
01775,148553
01776,224057
01778,197593
01801,97609
01803,120802
01810,171209
01821,114610
01824,128138
01826,98713
01827,140624
01830,82426
01832,83978
01833,125276
01834,119353
01835,84719
01840,62136
01841,51391
01843,56890
01844,89056
01845,133265
01850,61571
01851,67843
01852,74535
01854,65238
01860,105098
01862,101280
01863,113046
01864,147732
01867,144959
01876,111384
01879,124352
01880,118170
01886,145695
01887,116677
01890,206183
01901,46071
01902,62526
01904,97966
01905,76189
01906,96638
01907,146323
01908,119971
01913,89495
01915,108695
01921,186435
01922,107351
01923,101374
01929,117652
01930,92319
01937,-
01938,110963
01940,145519
01944,130293
01945,150718
01949,144093
01950,123347
01951,105537
01952,75957
01960,87940
01966,86653
01969,138567
01970,79534
01982,146626
01983,141066
01984,176895
01985,157849
02019,115995
02021,122585
02025,190860
02026,119377
02030,282506
02032,127033
02035,120521
02038,144218
02043,194510
02045,95194
02047,N
02048,122365
02050,111212
02052,195259
02053,134509
02054,116982
02056,154625
02061,155673
02062,107836
02066,143399
02067,165656
02071,108189
02072,94923
02081,131358
02090,193993
02093,125809
02108,151495
02109,161887
02110,250208
02111,131434
02113,110517
02114,138115
02115,80979
02116,171059
02118,130190
02119,58088
02120,56715
02121,47932
02122,74624
02124,75668
02125,76916
02126,59653
02127,118747
02128,72604
02129,138587
02130,105337
02131,90242
02132,118567
02134,76020
02135,83610
02136,77644
02138,126079
02139,114250
02140,112204
02141,109573
02142,161866
